Brand,Model,Battery,€/km of range*,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Price in Germany before incentives,Price in The Netherlands before incentives,Price in the United Kingdom after incentives,Approx. in USD based on source,Drive_Configuration
TESLA,Model 3,57.5,108,6.1,201,415,139,690,"43,970","43,993","39,990","49,827",Rear Wheel Drive
TESLA,Model Y Long Range Dual Motor,75,129,5.0,217,435,172,670,"55,970","50,990","52,990","66,025",All Wheel Drive
TESLA,Model 3 Long Range Dual Motor,75,108,4.4,201,500,150,770,"52,970","51,993","49,990","62,287",All Wheel Drive
BYD,ATTO 3,60.5,121,7.3,160,330,183,370,"37,990","38,990","37,195","46,344",Front Wheel Drive
TESLA,Model Y,57.5,135,6.9,217,350,164,580,"45,970","43,990","44,990","56,057",Rear Wheel Drive
MG,MG4 Electric 64 kWh,61.7,102,7.9,160,360,171,630,"39,990","35,785","29,495","36,750",Rear Wheel Drive
BYD,SEAL 82.5 kWh AWD Excellence,82.5,107,3.8,180,490,168,540,"50,990","50,990","48,695","60,673",All Wheel Drive
CITROEN,e-C3,44,90,11.0,135,265,166,340,"23,300","24,290","21,000","26,166",Front Wheel Drive
BMW,i4 eDrive40,80.7,122,5.7,190,515,157,800,"59,200","62,992","57,890","72,130",Rear Wheel Drive
BYD,DOLPHIN 60.4 kWh,60.5,101,7.0,160,340,178,340,"32,990","35,490","30,195","37,622",Front Wheel Drive
TESLA,Model Y Performance,75,150,3.7,250,415,181,640,"60,790","56,990","59,990","74,747",All Wheel Drive
VOLKSWAGEN,ID.4 Pro,77,114,6.7,180,435,177,650,"46,335","49,990","46,035","57,359",Rear Wheel Drive
HYUNDAI,Kona Electric 65 kWh,65.4,116,7.8,170,390,168,400,"47,190","43,995","38,595","48,089",Front Wheel Drive
BMW,iX xDrive40,71,225,6.1,200,360,197,480,"77,300","84,998","69,905","87,101",All Wheel Drive
VOLVO,EX30 Single Motor ER,64,117,5.3,180,365,175,610,"41,790","41,495","38,545","48,027",Rear Wheel Drive
TESLA,Model S Plaid,95,201,2.3,282,560,170,780,"110,970","110,993","100,000","124,600",All Wheel Drive
BYD,HAN,85.4,146,3.9,180,475,180,450,"69,020","69,990",N/A,"39,100",All Wheel Drive
KIA,Niro EV,64.8,111,7.8,167,385,168,390,"45,690","39,995","37,295","46,469",Front Wheel Drive
TESLA,Model S Dual Motor,95,168,3.2,250,575,165,800,"95,970","95,993","85,000","105,910",All Wheel Drive
BYD,SEAL 82.5 kWh RWD Design,82.5,96,5.9,180,500,165,550,"44,990","45,990","45,695","56,935",Rear Wheel Drive
TESLA,Model Y Long Range RWD,75,109,5.9,217,460,163,710,"49,970",N/A,N/A,"52,968",Rear Wheel Drive
ROLLS-ROYCE,Spectre,102,828,4.5,250,465,219,540,"379,015","396,275","330,000","411,180",All Wheel Drive
DACIA,Spring Electric 45,25,137,19.1,125,165,152,180,"22,550",N/A,N/A,"23,903",Front Wheel Drive
BYD,TANG,86.4,199,4.6,180,355,243,420,"71,400","69,990",N/A,"39,100",All Wheel Drive
HONDA,e:Ny1,61.9,147,7.6,160,335,185,300,"47,590","48,750","44,995","56,063",Front Wheel Drive
HONGQI,E-HS9 99 kWh,90,216,4.9,200,370,243,430,N/A,"79,995",N/A,"44,690",All Wheel Drive
BMW,iX3,74,184,6.8,180,385,192,520,"67,300","71,462","64,165","79,949",Rear Wheel Drive
RENAULT,Scenic E-Tech EV87 220hp,87,98,7.9,170,490,178,510,"48,900","47,970","40,995","51,079",Front Wheel Drive
BMW,iX1 xDrive30,64.7,147,5.6,180,380,170,510,"55,000","57,850","47,465","59,141",All Wheel Drive
KIA,EV6 Long Range 2WD,74,126,7.3,185,410,180,1070,"51,990","50,995","45,245","56,375",Rear Wheel Drive
RENAULT,Megane E-Tech EV60 220hp,60,113,7.4,160,380,158,530,"46,600","39,370","36,995","46,095",Front Wheel Drive
MG,ZS EV Long Range,68.3,105,8.4,175,370,185,420,"37,990","40,185","32,995","41,111",Front Wheel Drive
AUDI,Q6 e-tron quattro,94.9,170,5.9,210,460,206,920,"74,700","80,000","68,975","85,942",All Wheel Drive
BYD,SEAL U 71.8 kWh Comfort,71.8,126,9.3,175,340,211,320,N/A,"42,990",N/A,"24,016",Front Wheel Drive
TESLA,Model Y,57.5,135,6.9,217,350,164,810,"45,970","43,990","44,990","56,057",Rear Wheel Drive
SKODA,Enyaq 85,77,111,6.7,180,450,171,670,"48,900","49,990","44,540","55,496",Rear Wheel Drive
TOYOTA,bZ4X FWD,64,144,7.5,160,340,188,510,"47,490","45,995","46,110","57,453",Front Wheel Drive
BMW,i4 eDrive35,67,134,6.0,190,430,156,580,"56,500","59,362","49,995","62,293",Rear Wheel Drive
FIAT,500e Hatchback 42 kWh,37.3,149,9.0,150,235,159,390,"34,990","34,490","31,195","38,868",Front Wheel Drive
BMW,i7 xDrive60,101.7,272,4.7,240,510,199,760,"139,900","145,453","113,970","142,006",All Wheel Drive
KIA,EV9 99.8 kWh AWD,96,170,6.0,200,435,221,830,"76,490","71,495",N/A,"39,941",All Wheel Drive
BMW,i4 M50,80.7,170,3.9,225,450,179,700,"70,800","76,786","71,085","88,571",All Wheel Drive
VOLKSWAGEN,ID.3 Pro,58,122,7.3,160,350,166,450,"39,995","44,990","37,115","46,245",Rear Wheel Drive
NISSAN,Leaf,39,144,7.9,144,235,166,230,"33,400","35,090","28,995","36,127",Front Wheel Drive
LUCID,Air Grand Touring,112,196,3.0,270,665,168,840,"129,000","132,000",N/A,"73,743",All Wheel Drive
ZEEKR,001 Long Range RWD,94,116,7.2,200,525,179,710,"60,970","60,490",N/A,"33,793",Rear Wheel Drive
RENAULT,5 E-Tech 52kWh 150hp,52,97,7.5,150,330,158,420,"32,000","32,000","28,000","34,888",Front Wheel Drive
CUPRA,Born 150 kW - 58 kWh,58,113,7.3,160,350,166,470,"39,370","36,939","36,475","45,447",Rear Wheel Drive
MG,MG4 Electric 51 kWh,50.8,109,7.7,160,300,169,380,"34,990","32,285","26,995","33,635",Rear Wheel Drive
HYUNDAI,IONIQ 5 Long Range 2WD,74,132,7.3,185,390,190,1020,"47,900","52,895","46,945","58,493",Rear Wheel Drive
OPEL,Astra Electric,50.8,131,9.2,170,320,159,510,"41,990","39,999","37,795","47,092",Front Wheel Drive
RENAULT,Zoe ZE50 R110,52,114,11.4,135,315,165,230,"36,840","34,895",N/A,"19,494",Front Wheel Drive
VOLKSWAGEN,ID.7 Pro,77,126,6.5,180,475,162,730,"56,995","57,990","55,570","69,240",Rear Wheel Drive
HYUNDAI,IONIQ 6 Long Range 2WD,74,107,7.4,185,495,149,1290,"54,000","50,895","47,040","58,611",Rear Wheel Drive
MERCEDES-BENZ,EQB 250+,70.5,136,8.9,160,415,170,490,"53,514","54,966","52,800","65,788",Front Wheel Drive
NISSAN,Ariya 87kWh,87,117,7.6,160,450,193,540,"58,990","47,990","44,645","55,627",Front Wheel Drive
KIA,EV6 GT,74,198,3.5,260,360,206,940,"72,990","69,295","62,645","78,055",All Wheel Drive
AUDI,Q8 e-tron 55 quattro,106,170,5.6,200,505,210,640,"85,300","82,985","77,800","96,938",All Wheel Drive
BMW,iX1 eDrive20,64.7,127,8.3,170,390,166,520,"47,900","48,316","45,465","56,649",Front Wheel Drive
BMW,iX xDrive50,105.2,213,4.6,200,505,208,680,"100,100","105,097","102,755","128,032",All Wheel Drive
PORSCHE,Macan 4 Electric,95,174,5.2,220,485,196,970,"84,100","88,899","69,800","86,970",All Wheel Drive
MERCEDES-BENZ,EQS 450+,108.4,175,6.1,210,635,171,950,"109,551","112,720",N/A,"62,972",Rear Wheel Drive
HYUNDAI,IONIQ 6 Long Range AWD,74,135,5.1,185,440,168,1150,"61,100","59,395","50,540","62,972",All Wheel Drive
BMW,i5 eDrive40 Sedan,81.2,165,6.0,193,470,173,750,"70,200","77,572","74,105","92,334",Rear Wheel Drive
ZEEKR,001 Performance AWD,94,127,3.8,200,500,188,670,"63,970","63,490",N/A,"35,469",All Wheel Drive
MERCEDES-BENZ,EQA 250,66.5,129,8.6,160,395,168,570,"50,777",N/A,N/A,"53,823",Front Wheel Drive
HYUNDAI,IONIQ 5 N,80,194,3.4,260,385,208,950,"74,900","73,995","65,000","80,990",All Wheel Drive
